PILOTO,TOTAL_DE_VITORIAS
coulthard,67
piquet,63
raikkonen,58
fisichella,50
michael_schumacher,43
reutemann,43
hulme,42
alonso,40
hamilton,39
vettel,39
berger,39
hill,37
lauda,36
stewart,36
patrese,35
keke_rosberg,32
regazzoni,32
senna,31
scheckter,31
watson,29
prost,28
alboreto,28
mclaren,28
jones,27
rosberg,27
moss,26
button,24
ickx,24
clark,23
depailler,23
ricciardo,23
mansell,22
jack_brabham,22
ralf_schumacher,21
rodriguez,21
frentzen,20
laffite,20
gurney,20
peterson,20
max_verstappen,20
barrichello,19
angelis,18
fangio,18
mario_andretti,18
boutsen,17
tambay,17
surtees,17
emerson_fittipaldi,17
vukovich,16
trintignant,16
hunt,16
maldonado,16
hakkinen,15
pironi,15
montoya,13
trulli,13
pace,13
jabouille,13
kubica,12
alesi,12
webber,12
farina,12
hawthorn,12
panis,11
mass,11
nilsson,11
damon_hill,10
siffert,10
gonzalez,9
brooks,9
beltoise,9
kovalainen,8
irvine,8
taruffi,8
musso,8
bryan,8
rathmann,8
ward,8
massa,7
villeneuve,7
herbert,7
arnoux,7
wallard,7
ruttman,7
bonnier,7
flaherty,6
collins,6
hanks,6
phil_hill,6
parsons,5
fagioli,5
sweikert,5
baghetti,5
revson,5
bottas,5
ascari,4
bandini,4
rindt,4
gilles_villeneuve,3
trips,3
scarfiotti,3
gethin,3
brambilla,3
nannini,2
ireland,1
ginther,1
cevert,1
